aluguel,condominio,iptu,descricao,endereco,area,qtd_quartos,qtd_vagas,qtd_banheiros
R$ 1.000,,,"CAMBEBA - Rua José Martiniano de Alencar, 130, apto 4-A, aproximadamente 62M² com varanda, sala, 2 dormitorios, 2 banheiros, cozinha e area de serviço, 1 vaga e proximo ao Centro d..."," Avenida José Martiniano de Alencar, Cambeba
","CAMBEBA - Rua José Martiniano de Alencar, 130, apto 4-A, aproximadamente 62M² com varanda, sala, 2 dormitorios, 2 banheiros, cozinha e  de serviço, 1 vaga e proximo ao Centro d...",2,1.0,1.0
R$ 700,,,"Apartamento dispõe de 65m², sala ampla, varanda, cozinha americana, 2 quartos, banheiro social, área de serviço e 1 vaga de garagem rotativa. Localizado a 1 quadra do Terminal Rodo..."," Avenida Mister Hull, Antônio Bezerra
", 65 ,2,1.0,1.0
R$ 500,R$ 350,,"address Passaré, Fortaleza
"," Passaré, Fortaleza
", 45 ,2,1.0,1.0
R$ 720,"More em um apartamento compacto, com uma ótima localização, com uma sala, pequena varanda, 02 quartos, 01 banheiro, cozinha, e uma pequena área de serviço. Não cobramos ...",,"More em um apartamento compacto, com uma ótima localização, com uma sala, pequena varanda, 02 quartos, 01 banheiro, cozinha, e uma pequena área de serviço. Não cobramos condomínio..."," Rua Paulo Firmeza, Tauape
", 55 ,2,,1.0
R$ 1.600,,,"ótima localização, 2 quartos (sendo uma suíte) wc social, armários, com 01 ou 02 vagas, dependência de empregada, 69,95m².condominio 774,00(sujeito alteraçoes)"," Rua Joaquim Sá, Joaquim Tavora
", 70 ,2,,4.0
R$ 3.750,R$ 600,R$ 1.700,"Se você está procurando um apartamento pronto para morar com vista para o mar, o Edifício Beach Class no Bairro Praia de Iracema é a escolha perfeita para você! Com seus 56m², este..."," Rua Barão de Aracati, Meireles
", 56 ,2,1.0,2.0
R$ 900,,,"MUCURIPE - APARTAMENTO - RUA SÃO JOÃO N 96 AP 304 2º Andar, Aprox. 38m², Sala/Cozinha, 02 Dormitórios Sendo 01 Suíte."," Travessa São João, Mucuripe
", 38 ,2,,2.0
R$ 640,R$ 20,R$ 64,"Localizado ao lado do Benfica Buffet, há 1 quadra do Shopping Benfica, próximo ao Colégio Christus, Av. Treze de Maio, UFC, com fácil acesso à Av. Treze de Maio, Frangolândia Super..."," Rua Teresa Cristina, Centro
", 50 ,2,,1.0
R$ 550,R$ 353,,"Apartamento Residencial para Locação no Itaperi. Em condomínio fechado, com localização privilegiada, trazendo segurança e comodidade. Próximo ao supermercado Super do Povo , Pada..."," Rua C, Itaperi
", 43 ,2,1.0,1.0
R$ 780,R$ 120,,"Dispõe de 65m², sala ampla, cozinha, 2 quartos sendo 1 reversível e área de serviço. Localizado próximo a Av. Mister Hull, Colégio Essencial, Terminal rodoviário Antonio Bezerra, A..."," Rua Padre Perdigão Sampaio, Antônio Bezerra
", 65 ,2,,1.0
R$ 800,R$ 371,,"Apartamento dispõe de 48m², sala ampla, cozinha americana, 3 quartos, banheiro social, área de serviço e 1 vaga de garagem. Localizado próximo ao Pátio Messejana, Puro Açaí, Formet..."," Rua do Murará, Messejana
", 48 ,3,1.0,1.0
R$ 2.700,,,"Apartamento disponível para locação no Cumbuco Gold Com localização privilegiada a poucos passos do centrinho do Cumbuco, este apartamento possui 2 quartos climatizados e 2 banheir..."," Avenida das Dunas, Cumbuco
", 63 ,2,1.0,2.0
R$ 4.650,R$ 1.086,,"Excelente opção de apartamento mobiliado em condomínio clube no bairro Parque Iracema, ideal para famílias que buscam conforto e variedade de opções para o lazer e bem-estar no dia..."," Parque Iracema, Fortaleza
", 126 ,2,2.0,4.0
R$ 570,,,EXCELENTE IMÓVEL PARA LOCAÇÃO DESCRIÇÃO GARAGEM SALA DE VISITA 02 QUARTOS COZINHA 01 BANHEIRO SOCIAL AREA DE SERVIÇO COM LAVANDERIA -," Avenida Senador Almir Pinto, Novo Maranguape I
",EXCELENTE IMÓVEL PARA LOCAÇÃO DESCRIÇÃO GARAGEM SALA DE VISITA 02 QUARTOS COZINHA 01 BANHEIRO SOCIAL AREA DE SERVIÇO COM LAVANDERIA -,2,1.0,1.0
R$ 550,,,"Próximo ao Colégio Universo. Apartamento com 40m², 01 Quarto, WC Social, Cozinha com Área de Serviço e 01 Vaga de Garagem para Motos. Terraço no Último Andar, Poço Profundo, 03..."," Rua Balduíno Freire, Padre Andrade
", 40 ,1,1.0,1.0
R$ 780,"ALUGA-SE APARTAMENTO ALTOS DE 02 QUARTOS SALA COM COZINHA, 02 QUARTOS, BANHEIRO SOCIAL, ÁREA DE SERVIÇO CONDOMÍNIO DE ESCADA 02 QUADRAS DO FRANGOLÂNDIA DA AV. SARGENTO HERMÍNI...",,"ALUGA-SE APARTAMENTO ALTOS DE 02 QUARTOS SALA COM COZINHA, 02 QUARTOS, BANHEIRO SOCIAL, ÁREA DE SERVIÇO CONDOMÍNIO DE ESCADA 02 QUADRAS DO FRANGOLÂNDIA DA AV. SARGENTO HERMÍNI..."," Rua Henrique Autran, Monte Castelo
", 50 ,2,,1.0
R$ 650,R$ 30,,"Apartamento dispõe de 50m², cozinha americana, 2 quartos, banheiro social, área de serviço e vaga para moto. Localizado próximo a Avenida João Pessoa, Areninha Kaká, Costa Mendes D..."," Rua Frei Orlando, Bom Futuro
", 50 ,2,,1.0
R$ 1.000,"Apartamento com 70 m² - Tauape - Fortaleza/CE Sala, Cozinha, 2 quartos sendo 1 Suíte, Lavanderia, Despensa, 01 vaga. R$ 1000+ 340 de  Para agendar visita entre em cont...",,"Apartamento com 70 m² - Tauape - Fortaleza/CE Sala, Cozinha, 2 quartos sendo 1 Suíte, Lavanderia, Despensa, 01 vaga. R$ 1000+ 340 de condomínio Para agendar visita entre em cont..."," Avenida Pontes Vieira, Dionísio Torres
", 70 ,2,,3.0
R$ 1.200,R$ 230,,"Apartamento Novo , em área privilegiada do Bairro Passaré, com dois quartos, com wc reversível, sala e cozinha americana, com uma vaga de garagem, nas áreas comuns com amplo espaço..."," Avenida Juscelino Kubitschek, Passaré
", 48 ,1,1.0,1.0
R$ 850,R$ 512,,"Apto 115m² 3º andar de escada, sala em L, 3 quartos sendo 1 suíte, cozinha ampla, área de serviço com banheiro, 1 vaga coberta. Ao lado do colégio Antares e Hospital Albert Sabin...."," Rua Alberto Montezuma, Vila União
", 116 ,4,1.0,3.0
R$ 1.200,R$ 814,R$ 1.089,"Excelente cobertura, duplex dividido em 2 pavimentos, dispõe de 104,11m², primeiro piso possui sala, cozinha americana com despensa, 3 quartos sendo 1 suíte e banheiro social. Segu..."," Cidade 2000, Fortaleza
", 104 ,3,2.0,3.0
R$ 1.800,R$ 850,R$ 82,"Apartamento para Aluguel, 83m² por R$ 1.800/Mês. Meireles - Fortaleza/CE Encontrar o imóvel dos sonhos nunca foi tão fácil como na parceria entre a Arbo e a Marcelo Veras! Bast..."," Rua Tibúrcio Cavalcanti, Meireles
", 83 ,2,1.0,2.0
R$ 750,,R$ 80,"APARTAMENTO PARA LOCAÇÃO NO JACARECANGA! Apartamento para locação no bairro Jacarecanga, próximo ao Mercado São Sebastião, do começo da av. Bezerra de Menezes e da av. Duqu..."," Rua Epifânio Leite, Jacarecanga
", 70 ,2,,1.0
R$ 750,R$ 355,R$ 99,"Com 60m² de área privativa, sala de estar e jantar, 03 quartos, WC social, cozinha convencional e área de serviço. Condomínio oferece portaria, interfone, salão de festas, playgro..."," Messejana, Fortaleza
", 60 ,3,1.0,1.0
R$ 1.800,R$ 690,R$ 75,"Apartamento para Aluguel, 65m² por R$ 1.800/Mês. Aldeota - Fortaleza/CE Encontrar o imóvel dos sonhos nunca foi tão fácil como na parceria entre a Arbo e a Marcelo Veras! Basta..."," Avenida Rui Barbosa, Aldeota
", 65 ,3,1.0,2.0
R$ 950,R$ 200,,"Apartamento com fácil acesso à Av. Luciano Carneiro, Hospital Infantil Albert Sabin, Shopping Fortaleza Sul, colégio Antares e outras conveniências! Medindo 60 m², dispõe de 2 quar..."," Rua Almirante Rufino, Vila União
", 60 ,2,1.0,1.0
R$ 950,R$ 218,,"Dispõe de 70m², sala de estar, cozinha, 2 quartos, banheiro social, área de serviço com lavanderia e 1 vaga de garagem. Localizado próximo ao Atacadão, Banco24Horas, Academia F1 We..."," Rua Alameda Verde, Coacu
", 70 ,2,1.0,1.0
R$ 800,R$ 200,,"O apartamento está localizado no 2 andar, bairro Joaquim Távora, com 56 metros quadrados, com 1 quarto, dependência completa, 2 WC, nascente, 1 vaga. Não tem elevador"," Rua Padre Valdevino, Joaquim Tavora
", 56 ,1,1.0,2.0
R$ 3.500,R$ 612,R$ 1.326,"O apartamento no bairro Meireles com 56 metros quadrados com 1 quarto sendo 1 suite e 1 banheiro Possui academia, playground, salão para festas e eventos. Vai lhe possibilitar curt..."," Rua Barão de Aracati, Meireles
", 56 ,1,1.0,1.0
R$ 1.150,R$ 255,,"EUSÉBIO - RUA ALAMEDA VERDE Nº 100 AP 103 BL 13, Aprox. 41m², Sala, 02 Dormitórios, W.C Social, Cozinha/Área De Serviço, Quintal, 01 Vaga, Área De Lazer Com Piscina, Deck, Campo Es..."," Rua Alameda Verde, Coacu
", 42 ,2,1.0,1.0
R$ 800,R$ 185,,"Residencial Lúcia Maia Araújo localizado na Rua Florêncio Fontenele à 200 m da Br 116. Apartamento com 2 quartos, wc social."," Rua Florêncio Fontenele, Jangurussu
", 44 ,2,1.0,1.0
R$ 550,,R$ 209,"Localizado na Av. Presidente Castelo Branco, próximo a escola de aprendiz marinheiro, ao Centro Fashion, supermercado Guará e outras facilidades. Dispõe de 50 m², 1 suíte, sala con..."," Avenida Presidente Castelo Branco, Jacarecanga
", 50 ,1,1.0,1.0
R$ 2.400,R$ 599,R$ 98,"- Edifício Ocean Tower - Localizado na Av. Beira Mar, nº 4620 - Mucuripe à 120m do Mercado dos Peixes, 5 min do Jardim Japonês, 130m da Av. da Abolição e próximo a supermercados,..."," Avenida Beira Mar, Mucuripe
", 51 ,1,1.0,1.0
R$ 1.109,,,"(M-700) Apartamento de 50m², com ótima localização na Rua Senador Alencar 1649 - Centro, Fortaleza-CE. Próximo ao Liceu e a faculdade FAMETRO e a 200m do CENTRO FASHION! Imóvel co..."," Rua Senador Alencar, Centro
", 50 ,2,1.0,1.0
R$ 6.000,R$ 586,R$ 191,"Maravilhoso Apartamento Mobiliado, alto padrão, na melhor localização da Beira Mar. São 60,41 m2 de puro luxo e sofisticação, no condomínio mais desejado de Fortaleza. Tudo isso pa..."," Avenida da Abolição, Meireles
", 60 ,2,1.0,2.0
R$ 2.100,,,"O apartamento está localizado no bairro Cocó tem 120 m², com 3 quartos sendo 1 suíte e 1 banheiro, dependência completa de empregada. Possui armários na cozinha e nos quartos."," Rua Andrade Furtado, Cocó
", 120 ,3,1.0,1.0
R$ 709,R$ 218,,"(E-800) Excelente apartamento em um dos melhores condomínios do Eusébio de aproximadamente 42m², localizado na Rua Alameda Verde, 280, Coaçu, Eusébio-CE; Imóvel com sala, cozinha,..."," Alameda Verde, Coacu
", 41 ,2,1.0,1.0
R$ 2.100,"Contato: 85 98756.9521 Loft mobiliado na praia de Flecheiras/CE disponível para locação ou venda. A 150m da praia, fica localizado na rua da pousada do Paiva. O  conta...",,"Contato: 85 98756.9521 Loft mobiliado na praia de Flecheiras/CE disponível para locação ou venda. A 150m da praia, fica localizado na rua da pousada do Paiva. O condomínio conta..."," Rua dos Tiriós, Flecheiras
", 50 ,1,1.0,1.0
R$ 1.300,,R$ 56,Apartamento de 2 QUARTOS e 1 SUÍTE para LOCAÇÃO Apartamento constituído por: * 2 quartos * 1 Suíte * Sala de estar/jantar * Cozinha * Área de serviço * Garagem Área de lazer do...," Tamatanduba, Eusébio
", 63 ,3,1.0,1.0
R$ 900,R$ 1,R$ 22,"Apartamento para locação no Luciano Cavalcante Apartamento novo no 1° andar, no bairro Luciano Cavalcante, com 35m² de área construída, 1 vaga de garagem, 2 quartos, 1 wc, sala de..."," Salinas, Fortaleza
", 34 ,2,1.0,1.0
R$ 1.000,R$ 300,,"Adriano Freire Imóveis aluga apartamento no Edifício Seabra Apartamento semimobiliado com 1 quarto, sala com varanda conjugada, cozinha americana, banheiro social e 1 vaga de gar..."," Avenida da Abolição, Meireles
", 40 ,1,1.0,1.0
R$ 550,R$ 130,,Excelente apartamento no bairro Vila União para Locação com 40m². Imóvel dispõe de: - Sala - Suíte - Cozinha - WC - Área de serviço - 1 vaga de garagem (Apenas moto) Próximo ao s...," Rua Tianguá, Vila União
", 40 ,1,,1.0
R$ 650,,,"address Rua Antônio Rocha, Jardim das Oliveiras
"," Rua Antônio Rocha, Jardim das Oliveiras
", 48 ,2,,1.0
R$ 850,,,"Excelente apartamento localizado na Rua Silva Cavalcante, nº640 altos, Pirapora. Apartamento com varanda, uma sala de visita, sala de jantar, cozinha, três quartos sendo uma suíte,..."," Rua Silva Cavalcante, Pirapora
", 112 ,3,,2.0
R$ 6.500,,,"O apartamento no bairro Cumbuco possui 90 metros quadrados com 3 quartos sendo 2 suítes e 2 banheiros. Possui jardim. Vai lhe possibilitar curtir os dias mais quentes na piscina, t..."," Rua Almirante Pedro de Frontim, Cumbuco
", 90 ,3,1.0,2.0
R$ 500,R$ 409,,"APARTAMENTO NO PASSARÉ COM 02 QUARTOS, 48M², SALA, COZINHA, BANHEIRO, 01 VAGA DE GARAGEM, SUPER VENTILADO. LOCALIZAÇÃO EXCELENTE AO LADO DO ZOOLÓGICO COM ÔNIBUS NA PORTA PROXÍMO D..."," Avenida da Saudade, Passaré
", 48 ,2,1.0,1.0
R$ 780,R$ 120,,"Dispõe de 65m², sala ampla, cozinha, 2 quartos sendo 1 reversível e área de serviço. Localizado próximo a Av. Mister Hull, Colégio Essencial, Terminal rodoviário Antonio Bezerra, A..."," Rua Padre Perdigão Sampaio, Antônio Bezerra
", 65 ,2,,1.0
R$ 700,R$ 1,R$ 166,"Com 35m², sala, 2 quartos, sendo 1 suíte reversível, cozinha, wc social. Condomínio com portão automático, guarita, interfone e cerca elétrica. Próximo ao Mercado da Aerolândia. R..."," Alto da Balança, Fortaleza
", 35 ,2,,1.0
R$ 600,,,Excelente Apartamento na Lagoa Redonda com 70 m² !!!! - 02 Quartos - Cozinha Convencional - Área de Serviço - Sala de Estar - Piso de Cerâmica - Portão de Alumínio - Estacionamen...," Rua Maria Pinheiro Campelo, Lagoa Redonda
", 70 ,2,1.0,1.0
R$ 3.100,R$ 500,R$ 320,"Apartamento localizado em um dos melhores bairros de Fortaleza, a 3 quarteirões do Iguatemi. Próximo à Estácio, UNI7, Unifor. Área de lazer completa. Piscina, academia, salão de f..."," Rua Jaime Pinheiro, Guararapes
", 72 ,3,2.0,2.0
R$ 900,R$ 295,,"Apartamento para Locação, Condomínio Eco Way Bairro: Eusébio / CE. 2 quartos, 1 banheiro, 1 vaga de garagem. Valor do Imóvel R$ 800,00 Valor do Condomínio R$ 295,00 (In..."," Alameda Verde, Coacu
", 44 ,2,1.0,1.0
R$ 3.000,,,O apartamento no melhor no bairro Meireles tem 70 metros quadrados com 2 quartos e 2 banheiros 2 suítes . Vai lhe possibilitar todo o conforto do ar condicionado nos dias mais que...," Rua José Napoleão, Meireles
", 70 ,2,1.0,2.0
R$ 4.000,R$ 2.400,R$ 160,"Um ótimo imóvel quando o assunto é conforto, lazer e segurança! Localizado no bairro Aldeota, o Edifício Divisa Boulevard dispõe de vários fatores que farão com que sua moradia sej..."," Rua Monsenhor Catão, Aldeota
", 170 ,3,3.0,4.0
R$ 700,,,"Apartamento dispõe de 60m², sala ampla, varanda, cozinha americana, 2 quartos, banheiro social, área de serviço e 1 vaga de garagem. Localizado a 1 quadra do Terminal Rodoviário An..."," Avenida Mister Hull, Antônio Bezerra
", 60 ,2,1.0,1.0
R$ 3.850,,,Excelente oportunidade de moradia à beira-mar no Porto das Dunas em Fortaleza! Está disponível para alugar um apartamento maravilhoso com vista para o mar e uma área de lazer compl...," Rua dos Golfinhos, Porto das Dunas
", 106 ,3,1.0,6.0
R$ 200 /dia,,,"Apartamento no Beach Class Colonial, a 1 quadra do calçadão da praia. Excelente localização, área de lazer completa com piscinas, academia, sauna, salas de reunião, brinquedoteca,..."," Rua Barão de Aracati, Meireles
", 56 ,2,1.0,2.0
R$ 800,R$ 100,R$ 79,"Apartamento localizado a alguns metros do Hospital Haroldo Juaçaba e Maternidade Escola Assis Chateaubriand, fácil acesso à Av. José Bastos, Colégio Christus da Parquelândia, Igrej..."," Rua Alexandre Baraúna, Rodolfo Teófilo
", 50 ,2,,1.0
R$ 2.500,R$ 300,R$ 50,"APARTAMENTO A PASSOS DA PRAIA DO PORTO DAS DUNAS 02 DORMITÓRIOS SENDO 01 SUITE, BANHEIRO SOCIAL, SALA PARA 02 AMBIENTES , VARANDA, COZINHA AMERICANA COM ARMÁRIOS 01 VAGA NA GARAGE..."," Avenida dos Golfinhos, Porto das Dunas
", 46 ,2,1.0,1.0
R$ 1.100,"Apartamento para alugar no Condomínio Viverde Clube, próximo a Lagoa da Maraponga, Supermercado Cometa. * Quarto Andar * 2 quartos * Sala com cozinha americana * 1 banheiro * Are...",,"Apartamento para alugar no Condomínio Viverde Clube, próximo a Lagoa da Maraponga, Supermercado Cometa. * Quarto Andar * 2 quartos * Sala com cozinha americana * 1 banheiro * Are..."," Rua Júlio Alcides, Maraponga
", 46 ,2,,1.0
R$ 1.750,R$ 800,,AG BEZERRA IMÓVEIS www.agbezerra.com.br WhatsApp: ( 8 8 ) 9 9 3 7 6 8586 (Corretor Tibério Bezerra) WhatsApp: ( 8 8 ) 2 1 3 1 8114 (Corretora Dimona Azevedo) Excelente apartame...," Rua Maria Diva de Carvalho, Jardim Gonzaga
", 107 ,3,2.0,4.0
R$ 740,R$ 260,,>>> APARTAMENTO PARA ALUGAR NO PASSARÉ," Rua das Aroeiras, Passaré
", 50 ,2,1.0,1.0
R$ 320 /dia,"VGFUN, Ap 2 quartos, 2 banheiros, MOBILIADO, VISTA MAR e VISTA PISCINA, lado da sombra, desce da calçada do Condomínio e já sobe no calçadão da Praia do Futuro, a preferida por tur...",,"VGFUN, Ap 2 quartos, 2 banheiros, MOBILIADO, VISTA MAR e VISTA PISCINA, lado da sombra, desce da calçada do Condomínio e já sobe no calçadão da Praia do Futuro, a preferida por tur..."," Rua Antônio Atualpa Rodrigues, Praia do Futuro II
", 60 ,2,1.0,2.0
R$ 700,R$ 1,R$ 1,"Já pensou em alugar seu canto em um local tranquilo e ao mesmo tempo próximo de tudo? A 7Cantos oferece uma ótima opção de imóvel para você, localizado no bairro Mondubim. São 50m²..."," Rua Mangaba, Mondubim
", 50 ,1,,1.0
R$ 1.100,R$ 310,,"Mega Imóveis Cariri aluga apartamento no bairro Tiradentes! Dispõe de 115m² com sala, cozinha, 3 quartos sendo 1 suíte, banheiro social, área de serviço e 1 vaga na garagem. Locali..."," Rua Francisco Dias Ferreira, Tiradentes
", 115 ,3,1.0,2.0
R$ 1.100,R$ 250,R$ 289,"Apartamento localizado próximo ao North Shopping Jóquei, Hospital da Mulher, Estácio, Ecopoint, Extra hipermercado e outras facilidades! Dispõe de 78 m², 2 quartos, sendo 1 deles c..."," Avenida Senador Fernandes Távora, Jóquei Clube
", 78 ,2,1.0,1.0
R$ 3.540,R$ 661,R$ 199,"Alugo apartamento amplo, mobiliado, na Avenida Beira mar ,exelente localização, vista panoramica para o mar , esse ap é o unico c/ acesso a beira mar e a av Abolição ,proximo a fei..."," Avenida Beira Mar, Meireles
", 129 ,5,,3.0
R$ 910,R$ 286,,"Dispõe de 75 m², sala, cozinha americana, 2 quartos sendo 1 suíte, banheiro social, área de serviço e 1 vaga de garagem. Localizado a 1 quadra da Av. Presidente Castelo Branco, pró..."," Rua Francisco Dias Ferreira, Tiradentes
", 75 ,2,,1.0
R$ 1.200,R$ 250,R$ 70,"Apartamento pronto para morar no térreo do Condomínio Residencial Ipê. Excelente localização: a dois minutos do Shopping Via Sul, a seis minutos da Unifor, próximo a posto de gasol..."," Avenida Washington Soares, JOSE DE ALENCAR
", 88 ,3,,2.0
R$ 1.000,R$ 690,R$ 535,"APTO EM EXCELENTE LOCALIZAÇÃO PROX. A SHOPPING, SUPERMERCADOS E BANCOS PROX. PE. ANTONIO TOMAS . ]]>"," Avenida Desembargador Moreira, Aldeota
", 78 ,1,1.0,1.0
R$ 2.300,R$ 550,,"O apartamento está localizado no bairro Cocó com 76 metros quadrados com 1 quarto sendo 1 suite e 2 banheiros Possui área de fitness, espaço jardinado, espaço gourmet, playground,..."," Rua Doutor Batista de Oliveira, Cocó
", 38 ,1,1.0,1.0
R$ 650,R$ 50,R$ 198,"Apartamento próximo aos Supermercados Centerbox e Cometa, Academia Smart Fit Vila Peri, Posto de Saúde Parque São José, com fácil acesso à Av. General Osório de Paiva e outras faci..."," Rua Doutor João Amora, Manuel Sátiro
", 70 ,2,,1.0
R$ 150 /dia,"Lindo apartamento no Beach Class Fortaleza. Apartamento com 02 quartos sendo 01 suíte, banheiro social, espaçosa varanda, 100% mobiliado, ar nos dois quartos. 1 vaga. Condomínio...",,"Lindo apartamento no Beach Class Fortaleza. Apartamento com 02 quartos sendo 01 suíte, banheiro social, espaçosa varanda, 100% mobiliado, ar nos dois quartos. 1 vaga. Condomínio..."," Rua Barão de Aracati, Meireles
", 56 ,2,1.0,2.0
R$ 750,R$ 1,R$ 1,"Esta é sua grande chance apartamento de 74m² com 2 dormitórios, 1 banheiro social, sala, cozinha, área de serviço. Possui uma iluminação natural incrível você ver o pôr-do-sol da s..."," Avenida Independência, Quintino Cunha
", 55 ,2,,1.0
R$ 2.600,R$ 260,,"Condomínio Fortaleza Sul, disponível para locação!!! O imóvel fica localizado no Edson Queiroz, rua Hil Moraes n° 12, próximo ao Sindojus-CE. A unidade fica no 13º andar e possu..."," Edson Queiroz, Fortaleza
", 54 ,2,1.0,1.0
R$ 450,,,"Alugam-se excelentes apartamentos no Residencial Ellen Berg situado à Rua Júlio Colf, N° 2113, Siqueira, Fortaleza-CE, CEP: 60.732-690. Os apartamentos são constituídos de ampla sa..."," Rua Júlio Colf, Siqueira
", 40 ,2,,1.0
R$ 3.400,R$ 700,,"ANDRADE JR imóveis aluga Apartamento nascente, no Meireles em condomínio com lazer e cobertura panorâmica. Apartamento 55m², 02 quartos, 02 banheiros e 01 vaga de garagem. Contat..."," Rua Silva Jatahy, Meireles
", 55 ,2,1.0,2.0
R$ 1.200,R$ 588,R$ 77,"Apartamento para Aluguel, 118m² por R$ 1.200/Mês. Papicu - Fortaleza/CE Encontrar o imóvel dos sonhos nunca foi tão fácil como na parceria entre a Arbo e a Marcelo Veras! Basta..."," Rua Raimundo Oliveira Filho, Papicu
", 118 ,3,1.0,2.0
R$ 200 /dia,,,"Apartamento alto padrão, 2 quartos, sala e cozinha, 100% mobiliado com móveis projetados, TV, utensílios domésticos, localização privilegiada no melhor da Beira Mar em Fortaleza...."," Avenida da Abolição, Meireles
", 47 ,2,1.0,1.0
R$ 2.600,R$ 263,R$ 998,"As unidades possuem 54,09 m², 02 quartos (sendo 02 suítes - plena + reversível) sala, cozinha e varanda). Aptos novos, primeira locação. 100% nascente (bastante ventilado). O condo..."," Rua Hil de Moraes, Edson Queiroz
", 54 ,2,1.0,2.0
R$ 1.190,R$ 400,R$ 60,"Apartamento com localização maravilhosa, 2 quartos, Varanda"," Rua Padre Pedro de Alencar, Messejana
", 66 ,3,,1.0
R$ 500,,"R$69,94/mês","Apartamento com 01 quarto + 01 suite, sala, cozinha e wc social."," Rua Bom Jesus, Bom Jardim
", 57 ,2,,2.0
R$ 4.000,R$ 610,R$ 198,"Apartamento Mobiliado com vista mar na beira mar de Fortaleza, com 02 quartos, 01 vaga na garagem, Condominio moderno e com infraestrutura de lazar completa. -"," Avenida Beira Mar, Mucuripe
", 64 ,2,1.0,2.0
R$ 3.000,R$ 979,R$ 215,"Apartamento para Aluguel, 137m² por R$ 3.000/Mês. Aldeota - Fortaleza/CE Encontrar o imóvel dos sonhos nunca foi tão fácil como na parceria entre a Arbo e a Marcelo Veras! Bast..."," Rua Monsenhor Bruno, Aldeota
", 137 ,3,3.0,5.0
R$ 809,,,"(V-129) Venha conhecer estes apartamentos bem localizados na Avenida Doutor Theberge, nº 1736. Com uma entrada lateral. O conjunto de imóveis encontra-se em ótimo estado para mora..."," Avenida Doutor Theberge, Cristo Redentor
", 110 ,3,,3.0
R$ 150 /dia,,,"Apartamento em localização privilegiada no Meireles, a 100m do aterro da Praia de Iracema, uma das regiões mais valorizadas e onde estão instalados hotéis, restaurantes, comércio e..."," Rua Barão de Aracati, Meireles
", 56 ,2,1.0,2.0
R$ 1.600,,,"Apartamento no bairro Bom Futuro, localizado na rua Afrodísio Gondim, a poucos metros da Av. João Pessoa, bem próximo ao Polo de Lazer Professor Gustavo Braga e do supermercado Nid..."," Bom Futuro, Fortaleza
", 90 ,3,,1.0
R$ 4.500,R$ 1.100,R$ 100,"O duplex está localizado no bairro Porto das Dunas possui 135 metros quadrados com 3 quartos sendo 3 suites e 4 banheiros Possui área de fitness, espaço gourmet, jardim, área de br..."," Rua Leão Marinho, Porto das Dunas
", 135 ,3,2.0,4.0
R$ 550,,,"Localizado próximo ao colégio Professor César Campelo, Igreja Jerusalém, com fácil acesso ao supermercado Solmar Super, Caixa Econômica Federal, Academia Top Up Fitness e outras co..."," Avenida I, Conjunto Ceara I
", 50 ,1,1.0,1.0
R$ 800,R$ 215,R$ 473,"Apartamento novo, dispondo de 44,28m², sala, cozinha, área de serviço, 2 quartos, 1 banheiro social e vaga rotativa. Localizado próximo a Av. Edilson Brasil Soares, Farmácia Pague..."," Rua Coronel Olegário Memória, Lagoa Sapiranga Coité
", 44 ,2,,1.0
R$ 750,,,"Excelente apartamento com sala, cozinha, área de serviço, 1 suíte reversível, área privativa 44m². Localizado na Rua Reino Unido, próximo Av. Rogaciano Leite, escolas, supermercado..."," Rua Reino Unido, Jardim das Oliveiras
", 44 ,1,,2.0
R$ 2.000,,,"Excelentes unidades em diversos andares, com guarita, salão de festas, 03 quartos (sendo uma suíte padrão e outra reversível) corredor, armários, cozinha, 01 vaga garagem, 70m². Co..."," Rua Gonçalves Ledo, Praia de Iracema
", 70 ,3,1.0,4.0
R$ 700,,R$ 166,"ÓTIMO APARTAMENTO OU SALA COMERCIAL, BEM LOCALIZADO NO BAIRRO MONTESE, SALA, COZINHA AMERICANA, 01DORMITÓRIO, 01 BANHEIRO, VENTILAÇÃO JARDIM DE INVERNO, VISÃO FRENTE DO PRÉDIO.ENTR..."," Rua Alberto Magno, Montese
", 50 ,1,,2.0
R$ 1.800,,,"Excelente Apartamento muito bem localizado na Rua Senador Pompeu, ao lao do Colégio Farias Brito, 123m², Mobiliado, living, varanda, 3 quartos (sendo 1 suíte), WC social, cozinha,..."," Rua Senador Pompeu, Centro
", 123 ,3,1.0,4.0
R$ 830,R$ 310,,Excelente Apartamento para Locação na Região da Maraponga. CARACTERÍSTICAS: - 02 Quartos - 01 Banheiros ; - Sala - 01 Vaga - Andar baixo ÁREA COMUM - Jardins; LAZER - Deck - Pl...," Rua Coronel Manuel Albano, Maraponga
", 46 ,2,1.0,1.0
R$ 600,R$ 370,,"IDADE 30Anos, CONSERVAÇÃO: BOM, 3 DORMITORIO,VARANDA, 1 VAGA(S) DE GARAGEM, LINHA DE ONIBUS JOSÉ WALTER/DETRAN - TERM. PARANGABA, PROXIMIDADES SUPERMERCADO PINHEIRO - MARAPONGA,COZ..."," Rua Capitão Américo Menezes, Maraponga
", 83 ,3,1.0,1.0
